,Name,Address,Phone_Number,Zip_Code,Latitude,Longitude
75,Cherubs,2524 W Fullerton Ave ,773-235-8103,60647,41.9251312,-87.6911433
76,ChiTown Sandwich Club,2921 North Clark Street ,773-697-3271,60657,41.9353856,-87.6467644
77,Clean Bean,1308 W Randolph St ,312-243-9750,60607,41.8845532,-87.659178
78,Cocoa + Co,1651 N Wells St ,312-624-8540,60614,41.9126214,-87.6345149
79,Coffee & Tea Peets,21 E Chestnut St ,312-635-5918,60611,41.898133,-87.62718
80,Coffee And Cream,4645 N Broadway St ,773-754-7572,60640,41.966721,-87.657979
81,Coffee Liberte,4807 N Spaulding Ave ,773-588-2165,60625,41.9687686,-87.71081
82,Coffee Shop,2605 W Lawrence Ave ,773-516-4771,60625,41.9684111,-87.69406719999999
83,Coffee Shop,3317 W Armitage Ave ,773-904-7051,60647,41.9172571,-87.71093499999999
84,Coffee Slasticarna Drina,2501 W Lawrence Ave ,773-275-5568,60625,41.9682292,-87.6917442
85,Coffee Studio,5628 N Clark St ,773-271-7881,60660,41.984294,-87.66910800000001
87,Coffee Unlimited,1408 S Clinton St ,312-733-2800,60607,41.8637106,-87.6410001
88,Corey's NYC Bagel Deli,515 N Dearborn Street ,312-923-9999,60654,41.8913264,-87.62946099999999
89,Coronas Coffee Shop,909 W Irving Park Rd ,773-529-1886,60613,41.954399,-87.652627
90,Costa Caffe,4801 N Milwaukee Ave ,773-639-2805,60630,41.9680109,-87.76058719999999
91,Crepes A Latte The Café,1840 W Irving Park Rd ,773-549-4444,60613,41.9544136,-87.67573999999999
92,Cup And Spoon,2415 W North Ave ,773-697-4421,60647,41.9100733,-87.6879032
93,Cupitol Coffee & Eatery,455 E. Chicago,312-414-1400,LINOIS,41.8965402,-87.617263
94,Dark Matter Coffee,738 N Western Ave ,773-697-8472,60612,41.8950599,-87.6871762
95,Dark Matter Coffee,1117 W Belmont Ave ,773-360-7553,60657,41.9396745,-87.65732200000001
96,Delicious Café,3827 N Lincoln Ave ,773-661-2190,60613,41.9512426,-87.6765707
98,Dolce Casa Café,4947 N Damen Ave ,773-506-0708,60625,41.9719615,-87.6790106
99,Dollop Coffee And Tea,4181 N Clarendon Ave ,773-360-1366,60613,41.9580406,-87.6495517
100,Dollop ,343 S Dearborn St ,312-374-4363,60604,41.8772287,-87.6290111
101,Donut And Ice Cream Expresso,151 N Michigan Ave ,312-819-0672,60601,41.884971,-87.62413749999999
104,Edgebrook Coffee Shop,6322 N Central Ave ,773-792-1433,60646,41.9969697,-87.7641484
105,Efebina's Café,1640 S Blue Island Ave ,312-243-9790,60608,41.85866559999999,-87.660654
106,Einstein Bros. Bagels,30 N La Salle St ,312-346-5110,60602,41.8828891,-87.63278969999999
108,Einstein Bros. Bagels,109 E Pearson St ,312-881-5056,60611,41.8974251,-87.6254908
109,Einstein Bros. Bagels,400 N Dearborn St ,312-755-0413,60654,41.8893897,-87.6297896
110,Ellipsis Coffee House,1259 W Devon Ave ,773-654-1589,60660,41.9980029,-87.6628212
111,Espression By Lavazza,140 E Walton Pl ,312-640-2440,60611,41.9004365,-87.6234056
112,Espresso Thy Art,4019 N Damen Ave ,773-248-1935,60618,41.9548396,-87.67850580000001
113,Expresso Brewery,1030 N Rush St ,312-642-9181,60290,41.9015705,-87.6279144
114,Fabcakes,714 N Wells St ,312-397-3300,60654,41.8953006,-87.6344512
115,Filter,1373 N Milwaukee Ave ,773-904-7819,60622,41.9069552,-87.6716546
116,Fire House Hooka,3001 W Irving Park Rd ,773-267-3473,60618,41.9537331,-87.7032914
119,Grand Katachi,4747 N Damen Ave ,773-271-4541,60625,41.9683267,-87.6787157
120,Hebo Coffee,1723 W Devon Ave ,773-274-0800,60660,41.9976782,-87.67298439999999
121,Hero Coffee Bar,439 S Dearborn St ,312-631-3269,60605,41.8758926,-87.6290583
122,Hope Coffee House,2431 W Roosevelt Rd ,312-666-5995,60608,41.8663841,-87.6873372
123,House Of Hookah,607 W Belmont Ave ,773-348-1550,60657,41.9398809,-87.6448147
124,Icosium Kafe,5200 N Clark St ,773-271-5233,60640,41.976316,-87.66875600000002
125,Intelligentsia Coffe,55 E Randolph St ,312-920-9332,60601,41.884388,-87.6256844
126,Intelligentsia Coffee,1863 W Carroll Ave ,312-733-5936,60612,41.8874972,-87.67414730000002
127,Ipsento,2035 N Western Ave ,773-904-8177,60647,41.9186538,-87.6871008
128,Java N Mug,3247 W Bryn Mawr Ave ,773-539-0407,60659,41.982964,-87.71074899999999
129,Julius Meinl,4363 N Lincoln Ave ,773-868-1876,60618,41.96128059999999,-87.6836028
130,Jupiter Coffee Inc,1139 W Fulton Market ,312-226-5768,60607,41.8864378,-87.65625279999999
131,Kickstand,824 W Belmont Ave ,773-661-9341,60657,41.9400821,-87.65038299999999
132,King Grill,6321 S Halsted St ,773-892-1080,60621,41.7789625,-87.6445571
133,Kitchen Sink,1107 W Berwyn Ave ,773-944-0592,60640,41.9780289,-87.6580778
134,Kristoffer's Cafe & Bakery,1733 S Halsted St ,312-829-4150,60608,41.8581489,-87.6464067
135,La Catrina Café,1011 W 18th St ,312-465-2381,60608,41.8579126,-87.651822
136,La Colombe Torrefaction,955 W Randolph St ,312-733-0707,60607,41.8840462,-87.6518864
137,Lavazza Cofee Café,162 E Ohio St ,312-255-8850,60611,41.8928452,-87.62306939999999
138,Lavazza Company,111 W Jackson Blvd ,312-447-0000,60604,41.8778414,-87.63130149999999
139,Lavazza Company,33 N Dearborn St ,312-977-9971,60602,41.8828847,-87.6289326
140,Le Pain Quotidien,1000 West Armitage Ave ,773-770-4341,60614,41.9183532,-87.6536
141,Le Pain Quotidien,10 E Delaware Pl ,312-380-6665,60611,41.8993406,-87.6279328
147,Le Pain Quotidien,135 N Clinton St ,312-234-0900,60661,41.8841711,-87.6406777
148,Looseleaf Lounge,2915 N Broadway St ,773-348-7881,60657,41.935289,-87.6440238
149,Loving Heart,838 W Montrose Ave ,773-561-5399,60613,41.9620684,-87.65167679999999
150,Malibu Internet Café,2735 N Milwaukee Ave ,773-772-7805,60647,41.9309054,-87.710201
153,Metra Coffee Shop 1,2427 W Hubbard St ,312-265-1121,60612,41.889233,-87.68746279999999
154,Metropolis Coffee,10000 W Ohare Ave ,773-908-9317,60666,41.9738886,-87.8907904
156,Michael's Goumet Coffee,7714 W Belmont Ave ,773-625-5362,60634,41.9380933,-87.8196457
157,Mr Allen Coffee Shop,1022 W 63rd St ,773-434-4494,60621,41.7798043,-87.65067549999999
158,Muppet,5155 N Lincoln Ave ,773-728-2354,60625,41.9756112,-87.6920963
159,Necessary & Sufficient Coffee,3624 W. Wrightwood Av ,310-663-9633,60647,41.9284052,-87.7181409
160,Nefertiti Gourmet Coffee Inc,2117 E 97th Street ,773-619-8061,60617,41.7186069,-87.57331909999999
161,Nefertiti Gourmet Coffee, 2117 East 97th Street ,773-619-8061,60617,41.7186069,-87.57331909999999
162,New Wave Coffee,2557 N Milwaukee Ave ,773-489-0646,60647,41.9279899,-87.7052918
163,Nextions,302 E 18th St ,312-846-6642,60616,41.858135,-87.620373
164,Nitecap Coffee Bar,1738 W 18th St ,312-846-1149,60608,41.8579277,-87.67019429999999
165,No Exit Café,6970 N Glenwood Ave ,773-743-3355,60626,42.0087207,-87.6663215
166,Noble Tree,2444 N Clark St ,773-248-1500,60614,41.9266336,-87.64151199999999
167,Nordstrom Ebar Artisan Coffee,55 East Grand Avenue ,312-464-1515,60611,41.8913138,-87.6258879
168,Olympic Club Inc,2615 W Lawrence Ave ,773-293-1450,60625,41.9683724,-87.6944546
169,Panera Bread,4244 N Harlem Avenue Norridge ,708-452-0176,60706,41.95749199999999,-87.807756
170,Panera Bread,501 South State Street ,312-922-1566,60605,41.8754341,-87.627288
171,Panera Bread,2 N. Michigan Ave ,312-332-6895,60602,41.8819644,-87.6247885
172,Panera Bread,6059 North Lincoln Avenue ,773-442-8210,60659,41.9930398,-87.7111663
173,Panera Bread,400 West Division Street ,312-337-2304,60610,41.904018,-87.6387266
174,Panera Bread,2310 W Logan Boulevard ,773-342-2804,60647,41.9303375,-87.68603499999999
175,Panera Bread,1101 South Canal Street ,312-786-1761,60607,41.86752329999999,-87.6388767
182,Peet's Coffee,1328 S Halsted St ,312-489-5127,60607,41.86464300000001,-87.647046
189,Peet's Coffee,222 S Riverside Plaza,312-489-5099,60606,41.8786309,-87.6387652
191,Peet's Coffee,400 N Michigan Ave Ste ,312-625-5531,60611,41.8894485,-87.6249399
195,Peet's Coffee,1000 W North Ave ,312-475-9782,60642,41.9118976,-87.6541488
211,Peet's Coffee & Tea,410 N Michigan Ave ,312-625-5531,60611,41.8898535,-87.6248435
224,Peet's Coffee & Tea,400 N Michigan Ave Ste 120 ,312-625-5531,60611,41.8894485,-87.6249399
228,Plovdiv,3953 W Lawrence Ave ,773-583-4037,60625,41.9680831,-87.7276124
229,Portage Grounds,5501 W Irving Park Rd ,773-930-3693,60641,41.9528603,-87.7647635
230,Red Eye Café,4164 N Lincoln Ave ,773-327-9478,60618,41.9575615,-87.68142449999999
231,Red June,2020 N Leavitt St ,773-227-2600,60647,41.918299,-87.6827898
232,Rescue,1456 N Dayton St ,312-202-0231,60642,41.9083926,-87.6498908
233,Robust Coffe Lounge,416 W Ontario St ,312-526-3420,60654,41.89333269999999,-87.63918559999999
235,Robust Coffee Lounge,6300 S Woodlawn Ave ,773-891-4240,60637,41.7802796,-87.5964954
238,Sara's Services Inc,13730 S Brainard Ave ,773-646-0392,60633,41.6457523,-87.54066139999999
239,Saugatuck Coffee Co,3344 N Halsted St ,773-857-3002,60657,41.9431521,-87.6496552
240,Savbet,4768 N Lincoln Ave ,773-769-3543,60625,41.96830509999999,-87.68846789999999
241,Sip Coffee House,1223 W Grand Ave ,312-492-7686,60642,41.8908737,-87.65836320000001
242,Some Like It Black Coffee,6838 S Ridgeland Ave ,773-420-3850,60649,41.77038599999999,-87.582911
243,Some Like It Black Coffee Club & Gallery,1904 S Michigan Ave ,312-225-4140,60616,41.8564245,-87.6241359
244,Star Lounge Coffee Company,2521 W Chicago,773-384-7827,60622,41.8955077,-87.6901774
245,Starbucks,175 W Jackson Blvd ,312-566-0792,60604,41.8774987,-87.63319969999999
247,Starbucks,2577 N Elston Ave ,773-227-2936,60647,41.9289,-87.6816322
249,Starbucks,1530 E 53rd St ,773-324-1241,60615,40.6211198,-73.9244203
251,Starbucks,3506 S State St,773-536-3126,60609,41.8307628,-87.62686769999999
252,Starbucks,2525 N Clark St ,773-296-0898,60614,41.9286034,-87.6420019
253,Starbucks,1430 W Taylor St ,312-492-7370,60607,41.8694892,-87.6629877
255,Starbucks,303 W Madison St ,312-781-9845,60606,41.881566,-87.6355794
257,Starbucks,6350 N Broadway St ,773-274-2638,60660,41.9979026,-87.660879
259,Starbucks,5300 N Clark St ,773-728-2777,60640,41.9781316,-87.66858520000001
261,Starbucks,10 S Riverside Plaza,312-441-1919,60606,41.8812538,-87.6391108
263,Starbucks,1000 W Diversey Pkwy ,773-665-1888,60614,41.932886,-87.65418199999999
264,Starbucks,66 W Washington St ,312-269-9335,60602,41.7221468,-81.24552659999999
266,Starbucks,633 N Saint Clair St ,312-787-2038,60611,41.8938374,-87.6223754
268,Starbucks,227 W Monroe St ,312-346-4360,60606,41.8802596,-87.6346818
270,Starbucks,4553 N Lincoln Ave ,773-878-5609,60625,41.9646671,-87.6856871
272,Starbucks,600 N State St ,312-573-0033,60654,41.892593,-87.628301
274,Starbucks,1174 E 55th St ,773-256-1930,60615,41.7952357,-87.5967608
276,Starbucks,555 S Dearborn St ,312-922-8910,60605,41.8746868,-87.62895429999999
278,Starbucks,1023 W Addison St,773-929-0945,60613,41.94702290000001,-87.6554075
279,Starbucks,2023 W Roscoe St ,773-281-6272,60618,41.94298149999999,-87.67949759999999
281,Starbucks4830 N Pulaski Rd Ste A ,,773-282-9503,60630,33.791638,-84.389488
282,Starbucks,5406 W Devon Ave ,773-631-4791,60646,41.9975294,-87.7641214
284,Starbucks,8 N Michigan Ave ,312-750-1454,60602,41.8823291,-87.6247703
286,Starbucks,111 W Washington St ,312-372-1331,60602,41.8829364,-87.6314575
288,Starbucks,42 E Chicago,312-951-6932,60611,41.8969023,-87.6266835
290,Starbucks,430 N Clark St ,312-670-3920,60654,41.8901372,-87.6312725
292,Starbucks,6108 N Western Ave ,773-274-1640,60659,41.9927241,-87.6901938
294,Starbucks,6075 N Lincoln Ave ,773-279-0513,60659,41.99288869999999,-87.7110077
296,Starbucks,2063 N Clark St ,773-525-6231,60614,41.9200226,-87.6369548
300,Starbucks,828 N State St ,312-751-1676,60610,41.8977218,-87.628416
302,Starbucks,30 W Erie St ,312-274-9546,60654,41.8942919,-87.62939519999999
304,Starbucks,1245 W Fullerton Ave ,773-327-9761,60614,41.9249616,-87.66032969999999
306,Starbucks,1933 W 103rd St ,773-239-7139,60643,41.706357,-87.67040349999999
308,Starbucks,210 W North Ave ,312-867-0186,60610,41.9113219,-87.635188
310,Starbucks,1599 N Clybourn Ave ,312-787-0168,60642,41.9107162,-87.6489599
312,Starbucks,233 S Wacker Dr ,312-559-9930,60606,41.878877,-87.6357573
313,Starbucks,4558 N Kedzie Ave ,773-267-1579,60625,41.964499,-87.7088715
315,Starbucks,209 W Jackson Blvd ,312-341-9850,60606,41.877914,-87.634142
317,Starbucks,401 E Ontario St ,312-951-7242,60611,41.893106,-87.61701699999999
319,Starbucks,3358 N Broadway ,773-528-0343,60657,41.9435603,-87.6451189
320,Starbucks,1 E Delaware Pl Ste 1 ,312-274-9549,60611,41.8989139,-87.6279763
321,Starbucks,1001 W Armitage Ave ,773-528-1340,60614,41.9179468,-87.6535797
323,Starbucks,1230 N Wells St ,312-622-3312,60610,41.904808,-87.6346952
325,Starbucks,171 W Randolph St ,312-332-5298,60601,41.8843106,-87.6334234
327,Starbucks,1001A W Madison St ,312-421-7073,60607,41.881513,-87.65218
328,Starbucks,2101 W Armitage Ave ,773-486-4771,60647,41.9174958,-87.6802701
330,Starbucks,1538 N Clark St ,312-337-6481,60610,41.910533,-87.6319061
332,Starbucks,161 N Clark St ,312-641-0320,60601,41.8847775,-87.6306113
334,Starbucks,25 E Washington St ,312-920-0473,60602,41.8829979,-87.6267747
336,Starbucks,830 N Michigan Ave ,312-848-7917,60611,41.8977238,-87.624731
338,Starbucks,160 W 87th St,773-651-7623,60620,40.7877872,-73.97370529999999
339,Starbucks,617 W Diversey Pkwy ,773-880-5172,60614,41.9326448,-87.6443559
341,Starbucks,444 N Michigan Ave ,312-832-9851,60611,41.8907059,-87.6246913
343,Starbucks,1229 N Clybourn Ave ,312-587-9063,60610,41.9046679,-87.64030129999999
345,Starbucks,139 S Clinton St ,312-756-9087,60661,41.8794043,-87.6409139
347,Starbucks,100 S Halsted St ,312-226-3658,60661,41.8802527,-87.6475603
349,Starbucks,40 W Lake St ,312-553-0244,60601,41.8860377,-87.6290233
350,Starbucks,100 S Wacker Dr ,312-759-5559,60606,41.8803125,-87.63752889999999
352,Starbucks,150 N Wacker Dr ,312-704-0655,60606,41.88475529999999,-87.6373339
354,Starbucks,1700 W Diversey Pkwy ,773-665-8650,60614,41.932469,-87.6711207
356,Starbucks,550 W Van Buren St ,312-431-0226,60607,41.8769783,-87.64154189999999
357,Starbucks,39 S La Salle St ,312-781-0854,60603,41.8808194,-87.6321287
359,Starbucks,39 W Division St ,312-951-6992,60610,41.9037956,-87.6301855
361,Starbucks,231 S La Salle St ,312-553-0373,60604,41.8785215,-87.6316279
363,Starbucks,200 W Adams St ,312-578-9602,60606,41.8797766,-87.63413899999999
365,Starbucks,3232 W Foster Ave ,773-279-0650,60625,41.9758839,-87.7101224
367,Starbucks,200 E Randolph St ,312-240-1602,60601,41.8852827,-87.62151229999999
370,Starbucks,31 E Roosevelt Rd ,312-431-1988,60605,41.8672261,-87.6262137
372,Starbucks,4365 W Irving Park Rd ,773-736-5226,60641,41.95326499999999,-87.7378542
374,Starbucks,40 N Clinton St ,312-463-0331,60661,41.8830193,-87.641442
376,Starbucks,2159 W Belmont Ave ,773-935-5680,60618,41.9393018,-87.68302829999999
378,Starbucks,4753 N Broadway St ,773-334-4227,60640,41.9687669,-87.65911229999999
380,Starbucks,2730 N Narragansett Ave ,773-622-6330,60639,41.930694,-87.78707399999999
382,Starbucks,946 W Randolph St,312-850-0079,60607,41.8845971,-87.65190799999999
383,Starbucks,1730 W Fullerton Ave ,773-248-0602,60614,41.92695579999999,-87.67391219999999
385,Starbucks,68 E Madison St ,312-444-9535,60602,40.7402978,-73.1836141
387,Starbucks,38 E Ontario St ,312-951-0662,60611,41.8934665,-87.6266024
389,Starbucks,750 N Franklin St Ste 107 ,312-274-0092,60654,41.8962887,-87.6359466
390,Starbucks,2275 N Lincoln Ave ,773-832-4313,60614,41.9235465,-87.6458998
392,Starbucks,35 E Wacker Dr ,312-541-8317,60601,41.8865228,-87.62678489999999
393,Starbucks,470 Merchandise Mart ,312-661-0443,60654,41.888543,-87.6354435
394,Starbucks,105 W Adams St ,312-855-0099,60603,41.879148,-87.63106800000001
396,Starbucks,200 W Madison St ,312-726-6620,60606,41.8823135,-87.63431829999999
398,Starbucks,4701 S Cicero ,773-838-8596,60632,41.80743330000001,-87.7428462
399,Starbucks,180 N La Salle St ,312-236-1286,60601,41.8853757,-87.6328681
401,Starbucks,131 S State St,312-977-0018,60603,41.8795933,-87.62796089999999
403,Starbucks,3845 N Broadway St ,773-755-4176,60613,41.9526201,-87.64945949999999
405,Starbucks,1701 W Division St ,773-252-5084,60622,41.9031134,-87.67009949999999
407,Starbucks,520 N Ogden Ave ,312-850-1617,60642,41.891654,-87.658991
409,Starbucks,55 E Jackson Blvd ,312-786-9201,60604,41.8780109,-87.62546449999999
414,Starbucks,311 S Wacker Dr ,312-427-7008,60606,41.8774554,-87.6360918
416,Starbucks,3356 N Lincoln Ave ,773-871-6888,60657,41.9428487,-87.67103490000001
418,Starbucks,7101 S Stony Island Ave ,773-643-6520,60649,41.765816,-87.5856323
420,Starbucks,3400 N Southport Ave ,773-975-2071,60657,41.9435819,-87.6641624
421,Starbucks,1070 W Bryn Mawr Ave ,773-271-1998,60660,41.9838235,-87.6578408
423,Starbucks,2200 N Halsted St ,773-935-2622,60614,41.921947,-87.64891329999999
425,Starbucks,4600 N Magnolia Ave,773-506-4280,60640,41.9655204,-87.66146529999999
426,Starbucks,4159 W Peterson Ave ,773-205-7440,60646,41.9898861,-87.7339526
428,Starbucks,3045 N Greenview Ave ,773-832-9080,60657,41.9375083,-87.6659742
430,Starbucks,200 S Michigan Ave ,312-431-1757,60604,41.8793,-87.62460740000002
432,Starbucks,334 N Desplaines St ,312-339-2780,60661,41.8877885,-87.6454413
433,Starbucks,225 N Michigan Ave ,312-565-0009,60601,41.8864083,-87.62378439999999
435,Starbucks,835 N Michigan Ave ,312-505-2620,60611,41.8979875,-87.6232418
437,Starbucks,251 E Huron St ,312-274-1472,60611,41.8946256,-87.6209858
439,Starbucks,2357 W Howard St ,773-465-6058,60645,42.0192299,-87.6899072
441,Starbucks,1101 S Canal St ,312-235-0429,60607,41.86752329999999,-87.6388767
443,Starbucks,1900 W Montrose Ave ,773-878-0272,60613,41.9616769,-87.6762105
445,Starbucks,1001 W North Ave ,312-255-1352,60642,41.904671,-88.00280149999999
447,Starbucks,400 W Madison St ,312-454-1010,60606,41.8820534,-87.638925
449,Starbucks,1003 N Rush St ,312-951-5436,60611,41.9009731,-87.6272954
451,Starbucks,4015 N Lincoln Ave ,773-348-5776,60618,41.9547106,-87.67893749999999
453,Starbucks,70 W Madison St ,312-357-0927,60602,41.8822512,-87.6301653
455,Starbucks,3184 N Clark St ,773-935-9270,60657,41.9398723,-87.6507604
457,Starbucks,2543 N California Ave ,773-772-9357,60647,41.9279713,-87.69738
459,Starbucks,6738 N Sheridan Rd ,773-743-0417,60626,42.0047511,-87.6612341
461,Starbucks,600 W Lake St ,312-575-0221,60661,41.8859504,-87.643005
463,Starbucks,515 N State St ,312-836-0351,60654,41.8914248,-87.6273701
465,Starbucks,1588 N Milwaukee Ave ,773-862-0249,60622,41.910317,-87.677615
467,Starbucks,3640 N Western Ave ,773-935-9086,60618,41.9479289,-87.6886363
469,Starbucks,111 E Chestnut St ,312-642-3971,60611,41.897992,-87.6252109
471,Starbucks,414 N Orleans St ,312-467-1173,60654,41.8896518,-87.6374245
473,Starbucks,1157 W Wrightwood Ave ,773-528-3149,60614,41.92875,-87.6583974
488,Starbucks Coffee,564 W Randolph St ,312-612-5465,60661,41.8847094,-87.6423523
491,Starbucks Coffee,222 Merchandise Mart Plz ,312-661-0443,60654,41.8884096,-87.6354498
492,Starbucks Coffee,2301 S Lake Shore Dr ,312-791-7252,60616,41.8526229,-87.61195769999999
497,Starbucks Coffee,4830 N Pulaski Rd ,773-282-9503,60630,41.9692337,-87.729036
500,Starbucks Coffee,116 S Halsted St ,312-226-3658,60661,41.8800609,-87.6475391
503,Starbucks Coffee,1002 W Diversey Pkwy ,773-665-1888,60614,41.9328853,-87.6541799
508,Starbucks Coffee,200 N Jefferson St ,312-575-0221,60661,41.8860388,-87.6431929
509,Starbucks Coffee,151 E Randolph St ,312-297-0929,60601,41.8843757,-87.6247358
510,Starbucks Coffee,6623 N Damen Ave ,773-681-9171,60645,42.0023839,-87.6797358
511,Starbucks Coffee,160 W 87th St ,773-651-7623,60620,40.7877872,-73.97370529999999
512,Starbucks Coffee,1001 W Madison St ,312-421-7073,60607,41.8814589,-87.6526969
522,Starbucks Coffee,6520 S Cicero Ave ,708-728-6505,60638,41.7739501,-87.7445765
531,Starbucks Coffee,255 E Grand Ave ,312-279-1305,60611,41.8915948,-87.62072049999999
532,Starbucks Coffee,1154 S Clark St ,312-212-6300,60605,41.8681604,-87.63113510000001
533,Starbucks Coffee,6312 N Nagle Ave ,773-774-6006,60646,41.9961627,-87.7884765
536,Starbucks Coffee,21 S Clark St ,312-732-4525,60603,41.88172429999999,-87.6302989
537,Starbucks Coffee,3549 N Sheffield Ave ,773-327-5096,60657,41.9469419,-87.6540309
542,Starbucks Coffee,3358 N Broadway St ,773-528-0343,60657,41.9435603,-87.6451189
543,Starbucks Coffee,4446 N Broadway St ,773-596-2376,60640,41.9632361,-87.65642489999999
546,Starbucks Coffee,1 E Delaware Pl ,312-274-9549,60611,41.898914,-87.62797599999999
549,Starbucks Coffee,166 W Van Buren St ,312-566-0792,60605,41.8771961,-87.6331933
550,Starbucks Coffee,2529 N Clark St ,773-296-0898,60614,41.9286484,-87.6421441
553,Starbucks Coffee,2112 W Peterson Ave ,773-761-3001,60659,41.991291,-87.6823108
579,Starbucks Coffee,2550 N Clybourn Ave ,773-935-5777,60614,41.92733440000001,-87.6746008
580,Starbucks Coffee,2656 N Elston Ave ,773-252-1994,60647,41.928476,-87.6850778
583,Starbucks Coffee,6009 N Broadway St ,773-769-2300,60660,41.9911446,-87.6598109
584,Starbucks Coffee,2754 N Clark St ,773-880-5172,60614,41.9326746,-87.64514799999999
